imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.0214206787477133, 0.45373648105467046, 1.0017896022439474, 0.40874512272159436, -0.03757666053998949, 3.9922350580284864, -0.4498277668944184, 0.2413995056958873, builtin_interfaces.msg.Time(sec=96, nanosec=315000000), 
-0.03850011217935742, 0.4905595136531563, 1.0400256813693234, 0.41700627066903534, -0.03794270816318447, 4.094777137902482, -0.477303944045317, 0.21015072955702552, builtin_interfaces.msg.Time(sec=96, nanosec=383000000), 
-0.06469199572615271, 0.4429471600493313, 1.0440153720188672, 0.4264744947240378, -0.054235471740304145, 4.199026282482016, -0.5019930049962368, 0.17548912009477458, builtin_interfaces.msg.Time(sec=96, nanosec=485000000), 
-0.09175624577823033, 0.4981939176018924, 1.0455205690633425, 0.436090892456524, -0.0771495932012406, 4.3035208459772285, -0.5234767990099499, 0.13751649079291894, builtin_interfaces.msg.Time(sec=96, nanosec=587000000), 
-0.0679064205570623, 0.5048339693759953, 1.0185214825876145, 0.4471246844556714, -0.07112325533623856, 4.406404267572842, -0.5413284686676962, 0.09649349194173128, builtin_interfaces.msg.Time(sec=96, nanosec=689000000), 
0.19236119473739083, 0.33889476838350724, 1.0347398647701436, 0.45889673438793804, 0.09190323673209894, 4.509258766974738, -0.55502843198062, 0.05318206263275801, builtin_interfaces.msg.Time(sec=96, nanosec=791000000), 
-0.010409562721189685, 0.6669754910260857, 1.038123427635885, 0.47214008279977393, 0.028792389509797178, 4.6129418691371615, -0.5644067855387142, 0.007833747536803933, builtin_interfaces.msg.Time(sec=96, nanosec=893000000), 
-0.04600519259651027, 0.6503525563932693, 1.041811708520556, 0.48147823645040444, -0.017286517429822887, 4.716982160195428, -0.5691863902571724, -0.03965965942465743, builtin_interfaces.msg.Time(sec=96, nanosec=995000000), 
-0.09998082598396191, 0.5853220469793701, 1.0206773984915725, 0.48995334270791363, -0.06817814857068641, 4.819857158854815, -0.5690187086531641, -0.08856838249676718, builtin_interfaces.msg.Time(sec=97, nanosec=97000000), 
-0.04120129038433066, 0.6094024284209104, 1.0066460677492783, 0.4986609315794766, -0.051255754738619916, 4.92105771477336, -0.5637201049223485, -0.1381849697163769, builtin_interfaces.msg.Time(sec=97, nanosec=199000000), 
0.01563544941687183, 0.6213302137650217, 1.0011072102671235, 0.5098570937614325, -0.009672116502109147, 5.021380001330007, -0.5532533895359342, -0.18784558181086108, builtin_interfaces.msg.Time(sec=97, nanosec=267000000), 
-0.049794863524517695, 0.5967366345347185, 0.9964463353770828, 0.5204198666420015, -0.034252629480281134, 5.121202664446783, -0.5375633503296412, -0.23716725225269758, builtin_interfaces.msg.Time(sec=97, nanosec=369000000), 
0.02128815392667148, 0.6124646971863487, 0.9945056354858466, 0.5308371441581526, 0.00027983038904649815, 5.220727356135017, -0.5166130681723616, -0.285627683152422, builtin_interfaces.msg.Time(sec=97, nanosec=471000000), 
-0.09900243967682781, 0.618000697147573, 0.9924856411901491, 0.5406303932817511, -0.060862568816107875, 5.320053077170419, -0.49045414175527796, -0.3326928622071165, builtin_interfaces.msg.Time(sec=97, nanosec=573000000), 
0.003946679559902324, 0.6773930343309655, 0.9898713731371812, 0.5496686304428253, -0.020584910875622066, 5.41914007063819, -0.4591559650037509, -0.37777217157419934, builtin_interfaces.msg.Time(sec=97, nanosec=675000000), 
-0.15154568807204435, 0.6254508800446439, 1.0198077079575196, 0.5582270938304057, -0.10127479928091518, 5.5199773751936645, -0.42294906729967685, -0.4202756968950082, builtin_interfaces.msg.Time(sec=97, nanosec=777000000), 
-0.05726804242315711, 0.616144688319726, 1.0306631932169914, 0.5660071588124241, -0.07379571217675707, 5.622629051874889, -0.381912593006419, -0.45961018394667585, builtin_interfaces.msg.Time(sec=97, nanosec=845000000), 
